Muntah,Diare,BAB Darah,Kehilangan Nafsu Makan,Anemia,Demam,Lesu,Perut Membesar,Penurunan Berat Badan,Bulu Rontok,Infeksi,Gemetar,Dehidrasi,Keluar Ingus,Bulu Kasar,Bersin,Kotoran Pada Mata,Penyakit
0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,Feline Chlamydiosis
1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,Feline Chlamydiosis
0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,Feline Chlamydiosis
1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,Feline Chlamydiosis
0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,Feline Chlamydiosis
1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,Feline Chlamydiosis
0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,Feline Chlamydiosis
1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,Feline Chlamydiosis
0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,Feline Chlamydiosis
1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,Feline Chlamydiosis
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Feline infectious peritonitis
1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Feline infectious peritonitis
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Feline infectious peritonitis
1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Feline infectious peritonitis
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Feline infectious peritonitis
1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,Feline infectious peritonitis
1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,Feline infectious peritonitis
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Feline infectious peritonitis
1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Feline infectious peritonitis
1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,Feline infectious peritonitis
0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,Feline infectious peritonitis
1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,Feline infectious peritonitis
0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,Feline infectious peritonitis
0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,Feline infectious peritonitis
1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,Feline infectious peritonitis
0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,Feline infectious peritonitis
1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,Feline infectious peritonitis
0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,Feline infectious peritonitis
1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,Feline infectious peritonitis
0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,Feline infectious peritonitis
1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,Feline infectious peritonitis
0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,Feline Leukumia Virus
0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,Feline Leukumia Virus
0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,Feline Leukumia Virus
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Feline Leukumia Virus
0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,Feline Leukumia Virus
1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,Feline Leukumia Virus
0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,Feline Leukumia Virus
1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,Feline Leukumia Virus
0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,Feline Leukumia Virus
1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,Feline Leukumia Virus
1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,Feline Leukumia Virus
0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,Feline Leukumia Virus
1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,Feline Leukumia Virus
0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,Feline Leukumia Virus
1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,Feline Leukumia Virus
0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,Feline Leukumia Virus
1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,Feline Leukumia Virus
0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,Feline Leukumia Virus
1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,Feline Leukumia Virus
0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,Feline Leukumia Virus
